Date,Open,High,Low,Close,Adj Close,Volume,Day
2023-01-03,0.485,0.516,0.47,0.49,0.49,18998100,221
2023-01-04,0.501,0.525,0.48,0.518,0.518,19603000,222
2023-01-05,0.505,0.52,0.474,0.504,0.504,17058400,223
2023-01-06,0.504,0.52,0.462,0.514,0.514,22529300,224
2023-01-09,0.52,0.569,0.506,0.513,0.513,21548600,225
2023-01-10,0.528,0.56,0.49,0.554,0.554,22517300,226
2023-01-11,0.559,0.604,0.55,0.591,0.591,20533000,227
2023-01-12,0.609,0.64,0.58,0.638,0.638,24534500,228
2023-01-13,0.619,0.705,0.615,0.65,0.65,22419900,229
2023-01-17,0.65,0.722,0.624,0.658,0.658,22378900,230
2023-01-18,0.66,0.719,0.624,0.624,0.624,19340100,231
2023-01-19,0.61,0.63,0.58,0.598,0.598,13936700,232
2023-01-20,0.609,0.644,0.591,0.623,0.623,13206400,233
2023-01-23,0.638,0.679,0.632,0.67,0.67,16889900,234
2023-01-24,0.666,0.679,0.603,0.609,0.609,16462200,235
2023-01-25,0.609,0.61,0.57,0.605,0.605,12684500,236
2023-01-26,0.62,0.64,0.593,0.635,0.635,14973500,237
2023-01-27,0.615,0.697,0.615,0.684,0.684,22042100,238
2023-01-30,0.67,0.672,0.635,0.64,0.64,11142700,239
2023-01-31,0.643,0.699,0.64,0.688,0.688,24651600,240
2023-02-01,0.69,0.732,0.662,0.715,0.715,21709500,241
2023-02-02,0.74,0.806,0.736,0.78,0.78,30604700,242
2023-02-03,0.752,0.81,0.735,0.748,0.748,20197700,243
2023-02-06,0.75,0.762,0.712,0.736,0.736,19329400,244
2023-02-07,0.738,0.739,0.695,0.711,0.711,18626700,245
2023-02-08,0.704,0.72,0.671,0.68,0.68,20580500,246
2023-02-09,0.705,0.713,0.636,0.641,0.641,18970000,247
2023-02-10,0.635,0.645,0.611,0.64,0.64,21805200,248
2023-02-13,0.672,1.07,0.62,0.879,0.879,175126700,249
2023-02-14,0.9,0.94,0.741,0.75,0.75,81271500,250
