Date,Open,High,Low,Close,Adj Close,Volume,Days
2021-05-06,12.31,13.24,11.96,12.65,12.65,7213600,97
2021-05-07,12.9,13.3,12.285,12.61,12.61,4251500,98
2021-05-10,12.65,12.67,11.85,11.88,11.88,4520900,99
2021-05-11,11.18,12.13,11.075,11.78,11.78,6461300,100
2021-05-12,11.834,12.27,11.26,11.47,11.47,12551900,101
2021-05-13,10.01,10.15,7.95,8.11,8.11,42715700,102
2021-05-14,8.72,9.95,8.499,9.79,9.79,27260900,103
2021-05-17,9.57,9.6,8.52,8.78,8.78,15186000,104
2021-05-18,8.43,9.39,8.35,8.99,8.99,11103200,105
2021-05-19,8.57,9.16,8.451,9.12,9.12,7215700,106
2021-05-20,9.15,9.59,9.1,9.29,9.29,5682800,107
2021-05-21,9.24,9.429,9.122,9.32,9.32,3673400,108
2021-05-24,9.1,9.1,8.02,8.18,8.18,27097800,109
2021-05-25,8.205,8.28,7.7,7.84,7.84,20910700,110
2021-05-26,7.87,8.31,7.645,8.15,8.15,15802100,111
2021-05-27,8.13,8.81,8,8.35,8.35,22293700,112
2021-05-28,8.546,8.546,7.8,7.94,7.94,20974800,113
2021-06-01,8.01,8.01,7.66,7.74,7.74,17546100,114
2021-06-02,7.78,8.58,7.67,8.5,8.5,25126800,115
2021-06-03,8.39,8.75,8.252,8.28,8.28,19798000,116
2021-06-04,8.33,8.42,8.06,8.29,8.29,11911500,117
2021-06-07,7.68,7.95,7.52,7.76,7.76,41338900,118
2021-06-08,7.9,12.2,7.83,11.63,11.63,230258300,119
2021-06-09,14.67,15,10.25,10.6,10.6,310735800,120
2021-06-10,11.07,11.61,10.2,10.69,10.69,96133400,121
2021-06-11,10.81,10.9,9.71,10,10,86156400,122
2021-06-14,10.375,11.92,9.94,11.27,11.27,180704500,123
2021-06-15,11.75,12.54,10.79,11.27,11.27,140925300,124
2021-06-16,11.04,11.34,10.36,11.09,11.09,99752500,125
2021-06-17,11.17,11.5,10.753,11.23,11.23,78317300,126
2021-06-18,11,12.1,10.85,11.4,11.4,140929900,127
2021-06-21,12.015,13.96,11.51,13.5,13.5,335602500,128
2021-06-22,13.48,14.43,12.92,13.5,13.5,233741900,129
2021-06-23,13.8,14.28,13.12,13.61,13.61,143136400,130
2021-06-24,13.56,14.41,12.61,14.39,14.39,174202300,131
2021-06-25,14.17,14.69,13.7,14.04,14.04,141520200,132
2021-06-28,14.03,15.18,13.8,14.4,14.4,177057500,133
2021-06-29,14.24,14.29,13.27,13.4,13.4,102428600,134
2021-06-30,13.24,13.69,12.81,13.17,13.17,68366700,135
2021-07-01,13,13.09,11.95,12.24,12.24,101316800,136
2021-07-02,11.98,12.39,11.44,11.65,11.65,76352300,137
2021-07-06,12.32,12.6,11.75,11.89,11.89,74437300,138
2021-07-07,11.84,11.91,10.75,10.95,10.95,85076000,139
2021-07-08,10.44,11.225,10.25,11,11,59124300,140
2021-07-09,11.04,11.22,10.77,11.14,11.14,36119900,141
2021-07-12,11.17,11.37,10.78,10.91,10.91,38740600,142
2021-07-13,10.695,11.155,10.35,10.4,10.4,37881700,143
2021-07-14,10.35,10.57,9.74,9.78,9.78,49509100,144
2021-07-15,9.64,10.37,9.46,10.09,10.09,42530600,145
2021-07-16,10.179,10.18,9.16,9.27,9.27,56226600,146
2021-07-19,8.98,9.66,8.835,9.44,9.44,39567700,147
2021-07-20,9.52,10.21,9.28,10.14,10.14,44581600,148
2021-07-21,9.78,10.335,9.67,10,10,43059400,149
2021-07-22,9.92,10.07,9.45,9.5,9.5,30294600,150
2021-07-23,9.37,9.62,9.17,9.18,9.18,28292600,151
2021-07-26,9.1,9.45,9.07,9.16,9.16,21763800,152
2021-07-27,9.09,9.56,8.81,9.32,9.32,29760400,153
2021-07-28,9.43,10.13,9.38,9.94,9.94,31968900,154
2021-07-29,9.95,10.68,9.62,9.98,9.98,46402800,155
2021-07-30,9.79,10.27,9.73,9.94,9.94,24573200,156
2021-08-02,9.97,10.6,9.94,10.41,10.41,31823900,157
2021-08-03,10.36,10.503,10.15,10.31,10.31,20492200,158
2021-08-04,10.3,10.31,9.59,9.61,9.61,35118200,159
2021-08-05,9.67,10.02,9.47,9.98,9.98,18122100,160
2021-08-06,9.94,10.15,9.755,9.83,9.83,14915500,161
2021-08-09,9.9,10.605,9.89,10.47,10.47,27930400,162
2021-08-10,10.5,10.69,10.07,10.3,10.3,19937300,163
2021-08-11,10.37,10.415,9.67,9.83,9.83,31979000,164
2021-08-12,9.97,10.008,9.34,9.41,9.41,74603100,165
2021-08-13,6.96,7.86,6.69,7.55,7.55,220813300,166
2021-08-16,7.29,7.31,6.72,6.87,6.87,77302800,167
2021-08-17,6.685,7.31,6.57,6.95,6.95,52501900,168
2021-08-18,6.96,7.07,6.75,6.82,6.82,35488200,169
2021-08-19,6.74,6.82,6.144,6.23,6.23,56256900,170
2021-08-20,6.28,6.92,6.233,6.63,6.63,45135400,171
2021-08-23,6.59,6.81,6.42,6.69,6.69,25371400,172
2021-08-24,6.74,7.425,6.63,7.12,7.12,68735200,173
2021-08-25,7.01,7.2,6.86,6.98,6.98,34615500,174
2021-08-26,6.94,7.04,6.66,6.66,6.66,25165800,175
2021-08-27,6.706,7.17,6.68,6.94,6.94,30969000,176
2021-08-30,7.1,7.474,6.86,7.18,7.18,41439200,177
2021-08-31,7.15,7.37,7.08,7.21,7.21,22420600,178
2021-09-01,7.17,7.75,7.12,7.38,7.38,38041900,179
2021-09-02,7.42,7.565,7.29,7.31,7.31,20425100,180
2021-09-03,7.3,7.48,7.135,7.24,7.24,15456300,181
2021-09-07,7.3,7.67,7.28,7.38,7.38,25649600,182
2021-09-08,7.35,7.35,6.82,6.84,6.84,35535300,183
2021-09-09,6.87,7.29,6.75,6.99,6.99,34687500,184
2021-09-10,7.03,7.26,6.78,6.8,6.8,28870600,185
2021-09-13,6.86,6.86,6.48,6.61,6.61,32429700,186
2021-09-14,6.6,6.68,6.27,6.33,6.33,41793700,187
2021-09-15,6.3,6.5,6.18,6.41,6.41,30935700,188
2021-09-16,6.33,6.473,6.273,6.31,6.31,25877800,189
2021-09-17,6.31,6.64,6.3,6.54,6.54,52196600,190
2021-09-20,6.29,6.44,5.91,6.07,6.07,42346300,191
2021-09-21,6.1,6.25,5.82,5.85,5.85,45364600,192
2021-09-22,5.927,6.03,5.84,5.91,5.91,28820300,193
2021-09-23,5.97,6.3,5.84,6.135,6.135,44969000,194
2021-09-24,6.115,6.278,5.93,6.02,6.02,32618300,195
2021-09-27,6.07,6.25,5.94,6.18,6.18,27814900,196
2021-09-28,6.1,6.16,5.72,5.8,5.8,47662700,197
2021-09-29,5.85,5.945,5.56,5.59,5.59,36114700,198
2021-09-30,5.6,5.634,5.43,5.46,5.46,37807800,199
2021-10-01,5.53,5.53,5.26,5.35,5.35,29616800,200
2021-10-04,5.13,5.2,4.81,4.85,4.85,68660900,201
2021-10-05,4.84,5.05,4.75,4.78,4.78,34065600,202
2021-10-06,4.69,5.02,4.61,4.9,4.9,39890200,203
2021-10-07,5,5.365,4.95,5.18,5.18,34014200,204
2021-10-08,5.22,5.29,4.98,5.01,5.01,17697600,205
2021-10-11,5.01,5.26,4.88,4.92,4.92,22773800,206
2021-10-12,4.94,5.14,4.92,5.08,5.08,16315900,207
2021-10-13,5.1,5.27,5.02,5.18,5.18,19643400,208
2021-10-14,5.24,5.3,5.1,5.16,5.16,18267000,209
2021-10-15,5.182,5.25,5.03,5.04,5.04,20806400,210
